,ID,Count
0,18288,413.12160232872736
1,18289,329.69265207169605
2,18290,279.02153145624123
3,18291,230.54552313635594
4,18292,194.05086353342494
5,18293,173.70753185776277
6,18294,186.78276596615538
7,18295,216.61867355543507
8,18296,249.4499183239533
9,18297,322.34379786478985
10,18298,457.53041261601936
11,18299,507.2324535558378
12,18300,512.606440848002
13,18301,453.3604334057068
14,18302,484.7527416861593
15,18303,478.6299200991863
16,18304,466.41364297601683
17,18305,477.27908176345113
18,18306,489.0255020741912
19,18307,518.9054587396362
20,18308,498.6502252163036
21,18309,465.43722178768655
22,18310,467.1257697073553
23,18311,456.08413461525976
24,18312,393.4999082035145
25,18313,314.03351360540637
26,18314,265.76907718195145
27,18315,219.59549362587012
28,18316,184.83419060341316
29,18317,165.45708928069672
30,18318,177.91129983853128
31,18319,206.33011606932246
32,18320,237.60200243351971
33,18321,307.03370183202543
34,18322,435.7994700588438
35,18323,483.14085438031407
36,18324,488.25959785495513
37,18325,431.82754889272934
38,18326,461.7288427418589
39,18327,455.896831733867
40,18328,444.2607809937006
41,18329,454.6101530462523
42,18330,465.79866337333556
43,18331,494.25943651785326
44,18332,474.96624902258907
45,18333,443.33073607276185
46,18334,444.93908443227986
47,18335,434.42188472482184
48,18336,379.01434390736466
49,18337,302.4732754512355
50,18338,255.9855550636782
51,18339,211.51171882504565
52,18340,178.03005292435728
53,18341,159.36626370472285
54,18342,171.3620084178843
55,18343,198.73466788688359
56,18344,228.8553699403689
57,18345,295.731141561357
58,18346,419.75676938176883
59,18347,465.35541716846285
60,18348,470.285728864159
61,18349,415.9310630386608
62,18350,444.73162698783403
63,18351,439.11430464601693
64,18352,427.90660155634805
65,18353,437.8749913236016
66,18354,448.6516289098219
67,18355,476.0647007697695
68,18356,457.48173633203083
69,18357,427.0107935569936
70,18358,428.55993521001255
71,18359,418.4298958789657
72,18360,263.46418834540594
73,18361,210.25820603880237
74,18362,177.9432034094309
75,18363,147.0281117893585
76,18364,123.7540060126839
77,18365,110.78024879941455
78,18366,119.11884915915248
79,18367,138.14640214173224
80,18368,159.08420158516145
81,18369,205.57154744245366
82,18370,291.78546491814865
83,18371,323.48244663371565
84,18372,326.9096535193578
85,18373,289.1261021981425
86,18374,309.1462342241047
87,18375,305.24146572325066
88,18376,297.4506566280212
89,18377,304.37998202522044
90,18378,311.8711446167873
91,18379,330.92678945908546
92,18380,318.0092159652522
93,18381,296.8279537375972
94,18382,297.9048083601349
95,18383,290.86311552406215
96,18384,262.9872748270859
97,18385,209.87760410034778
98,18386,177.62109694125365
99,18387,146.76196672225933
100,18388,123.52999090541502
101,18389,110.5797183267644
102,18390,118.90322444822878
103,18391,137.89633443005414
104,18392,158.79623301241696
105,18393,205.19942912697036
106,18394,291.2572852306447
107,18395,322.8968901954471
108,18396,326.31789327288254
109,18397,288.60273639460223
110,18398,308.5866286884715
111,18399,304.68892846090216
112,18400,296.91222201165095
113,18401,303.8290041900715
114,18402,311.30660654512087
115,18403,330.3277575357776
116,18404,317.4335669747893
117,18405,296.29064631588744
118,18406,297.3655516544257
119,18407,290.33660544067936
120,18408,411.63633133261715
121,18409,328.5073281114082
122,18410,278.0183822971894
123,18411,229.71665682467608
124,18412,193.35320425404643
125,18413,173.0830117227229
126,18414,186.11123723636018
127,18415,215.83987759987585
128,18416,248.55308618886244
129,18417,321.184894793525
130,18418,455.88548132250594
131,18419,505.40883153436624
132,18420,510.7634980565354
133,18421,451.7304941850856
134,18422,483.00993960693404
135,18423,476.90913102839784
136,18424,464.7367743441239
137,18425,475.56314927965593
138,18426,487.2673383991504
139,18427,517.0398694718641
140,18428,496.8574583589359
141,18429,463.76386362356584
142,18430,465.446340809493
143,18431,454.44440303716846
144,18432,402.0084377154768
145,18433,320.8237652993785
146,18434,271.51572156337807
147,18435,224.34374057398202
148,18436,188.83080440886147
149,18437,169.03471788431025
150,18438,181.75822207060662
151,18439,210.79152977027422
152,18440,242.7395986760107
153,18441,313.6725987129205
154,18442,445.22263020447576
155,18443,493.58766296204186
156,18444,498.81708747881316
157,18445,441.16482538818366
158,18446,471.7126658713968
159,18447,465.75455105310886
160,18448,453.8668975067884
161,18449,464.4400509013522
162,18450,475.87048700358366
163,18451,504.9466588386346
164,18452,485.23630058484923
165,18453,452.91674250579047
166,18454,454.559867695486
167,18455,443.8152577593887
168,18456,416.832746643988
169,18457,332.6543393923836
170,18458,281.52803115139693
171,18459,232.6165542874103
172,18460,195.7940567119324
173,18461,175.26797729498526
174,18462,188.46066854059495
175,18463,218.56459735707855
176,18464,251.69077099568932
177,18465,325.23946913025316
178,18466,461.6404891171454
179,18467,511.78901226862
180,18468,517.2112750377313
181,18469,457.43305024712527
182,18470,489.1073611770669
183,18471,482.9295372024245
184,18472,470.6035191043369
185,18473,481.56656404734747
186,18474,493.4185045262781
187,18475,523.5668781195577
188,18476,503.12968825620163
189,18477,469.6183265520258
190,18478,471.3220429958719
191,18479,460.18121894567736
192,18480,397.2110525187753
193,18481,316.99520092609384
194,18482,268.2755768771071
195,18483,221.66652477692455
196,18484,186.57738378192062
197,18485,167.01753471791926
198,18486,179.58920241297085
199,18487,208.27603987096595
200,18488,239.84285510525572
201,18489,309.9293730974888
202,18490,439.9095465599698
203,18491,487.69741309309626
204,18492,492.86443204468446
205,18493,435.9001657341478
206,18494,466.08346223276646
207,18495,460.1964488371052
208,18496,448.45065712202074
209,18497,458.8976353301487
210,18498,470.1916658254225
211,18499,498.92085589777486
212,18500,479.44571206248713
213,18501,447.51184083710115
214,18502,449.1353577207966
215,18503,438.51896905523944
216,18504,382.72548822262536
217,18505,305.4349627719231
218,18506,258.49205475883383
219,18507,213.58274997610005
220,18508,179.77324610286473
221,18509,160.92670914194534
222,18510,173.03991099232388
223,18511,200.68059168852707
224,18512,231.0962226121049
225,18513,298.62681282682036
226,18514,423.86684588289495
227,18515,469.911975881245
228,18516,474.8905630538884
229,18517,420.0036798800792
230,18518,449.0862464787417
231,18519,443.4139217492552
232,18520,432.09647768466823
233,18521,442.162473607498
234,18522,453.0446313619087
235,18523,480.72612014969104
236,18524,461.96119937192884
237,18525,431.1918983213328
238,18526,432.7562084985293
239,18527,422.5269802093833
240,18528,267.1753326606667
241,18529,213.21989335948987
242,18530,180.44970310458658
